Código OACI,CIAD,Nome,Município,UF,Município Servido,UF Servido,LATGEOPOINT,LONGEOPOINT,Latitude,Longitude,Altitude
SIBZ,PB0010,Itaporanga,ITAPORANGA,Paraíba,Itaporanga,Paraíba,-7.3111111,-38.113611,"07°18'40.0""S","038°06'49.0""W","292,0"
SWBC,AM0017,Barcelos,BARCELOS,Amazonas,Barcelos,Amazonas,-0.98083333,-62.918889,"00°58'51.0""S","062°55'08.0""W","34,0"
SBVH,RO0003,Vilhena,VILHENA,Rondônia,Vilhena,Rondônia,-12.694167,-60.097222,"12°41'39.0""S","060°05'50.0""W","615,0"
SNIG,CE0007,Iguatu,IGUATU,Ceará,Iguatu,Ceará,-6.3477778,-39.298611,"06°20'52.0""S","039°17'55.0""W","213,0"
SWWU,GO0013,Uruaçu,URUAÇU,Goiás,Uruaçu,Goiás,-14.544722,-49.091111,"14°32'41.0""S","049°05'28.0""W","520,0"
SNUN,MG0055,Unaí,UNAÍ,Minas Gerais,Unaí,Minas Gerais,-16.353889,-46.926944,"16°21'14.0""S","046°55'37.0""W","609,0"
SWEK,MT0024,Canarana,CANARANA,Mato Grosso,Canarana,Mato Grosso,-13.5775,-52.268056,"13°34'39.0""S","052°16'05.0""W","398,0"
SNBZ,BA0042,Paramirim,PARAMIRIM,Bahia,Paramirim,Bahia,-13.490556,-42.229167,"13°29'26.0""S","042°13'45.0""W","639,0"
SILC,MT0025,Aeroporto Municipal Bom Futuro,LUCAS DO RIO VERDE,Mato Grosso,Lucas do Rio Verde,Mato Grosso,-13.037778,-55.950278,"13°02'16.0""S","055°57'01.0""W","414,0"
SSSS,SC0022,São Francisco do Sul,SÃO FRANCISCO DO SUL,Santa Catarina,São Francisco do Sul,Santa Catarina,-26.221111,-48.564444,"26°13'16.0""S","048°33'52.0""W","15,0"
SNTM,MG0068,Turmalina,TURMALINA,Minas Gerais,Turmalina,Minas Gerais,-17.233889,-42.733889,"17°14'02.0""S","042°44'02.0""W","882,0"
SWJN,MT0007,Juína,JUÍNA,Mato Grosso,Juína,Mato Grosso,-11.419444,-58.71,"11°25'10.0""S","058°42'36.0""W","330,0"
SSIE,MS0002,Teruel Ipanema Estância,CAMPO GRANDE,Mato Grosso do Sul,Campo Grande,Mato Grosso do Sul,-20.603889,-54.595278,"20°36'14.0""S","054°35'43.0""W","528,0"
SNVC,MG0074,Viçosa,VIÇOSA,Minas Gerais,Viçosa,Minas Gerais,-20.744722,-42.841944,"20°44'41.0""S","042°50'31.0""W","659,0"
SNMR,BA0065,Maraú,MARAÚ,Bahia,Maraú,Bahia,-14.117222,-38.983889,"14°07'02.0""S","038°59'02.0""W","20,0"
SNUC,RN0003,Açu,AÇU,Rio Grande do Norte,Açu,Rio Grande do Norte,-5.595,-36.960833,"05°35'42.0""S","036°57'39.0""W","111,0"
SSGW,PR0037,Manoel Ribas,GOIOERÊ,Paraná,Goioerê,Paraná,-24.219722,-53.043889,"24°13'11.0""S","053°02'38.0""W","491,0"
SNKN,RN0004,Currais Novos,CURRAIS NOVOS,Rio Grande do Norte,Currais Novos,Rio Grande do Norte,-6.2808333,-36.540278,"06°16'51.0""S","036°32'25.0""W","367,0"
SIBY,PB0009,Lourival Nunes de Farias,MONTEIRO,Paraíba,Monteiro,Paraíba,-7.8783333,-37.136667,"07°52'42.0""S","037°08'12.0""W","622,0"
SNRD,BA0048,Prado,PRADO,Bahia,Prado,Bahia,-17.296944,-39.271944,"17°17'49.0""S","039°16'19.0""W","27,0"
SDH2,MT0662,Porto Alegre do Norte,PORTO ALEGRE DO NORTE,Mato Grosso,Porto Alegre do Norte,Mato Grosso,-10.918056,-51.608889,"10°55'05.0""S","051°36'32.0""W","217,0"
SWUZ,GO0025,Brigadeiro Araripe Macedo,LUZIÂNIA,Goiás,Luziânia,Goiás,-16.261667,-47.968611,"16°15'42.0""S","047°58'07.0""W","996,0"
SSPN,MS0010,Paranaíba,PARANAÍBA,Mato Grosso do Sul,Paranaíba,Mato Grosso do Sul,-19.651111,-51.199444,"19°39'04.0""S","051°11'58.0""W","442,0"
SNYA,PA0024,Aeródromo Público de Almeirim,ALMEIRIM,Pará,Almeirim,Pará,-1.4791667,-52.578056,"01°28'45.0""S","052°34'41.0""W","178,0"
SNJO,PB0002,Aeroclube de João Pessoa,JOÃO PESSOA,Paraíba,João Pessoa,Paraíba,-7.0916667,-34.841944,"07°05'30.0""S","034°50'31.0""W","6,0"
SJGU,TO0005,Araguatins,ARAGUATINS,Tocantins,Araguatins,Tocantins,-5.6844444,-48.115556,"05°41'04.0""S","048°06'56.0""W","125,0"
SNAP,MG0021,Janaúba,JANAÚBA,Minas Gerais,Janaúba,Minas Gerais,-15.731944,-43.323056,"15°43'55.0""S","043°19'23.0""W","532,0"
,MS0563,Nova Andradina,NOVA ANDRADINA,Mato Grosso do Sul,Nova Andradina,Mato Grosso do Sul,-22.1625,-53.330278,"22°09'45.0""S","053°19'49.0""W","419,0"
SBTB,PA0012,Trombetas,ORIXIMINÁ,Pará,Oriximiná,Pará,-1.4897222,-56.396944,"01°29'23.0""S","056°23'49.0""W","51,0"
SSOS,RS0042,Osório,OSÓRIO,Rio Grande do Sul,Osório,Rio Grande do Sul,-29.902222,-50.249167,"29°54'08.0""S","050°14'57.0""W","17,0"
SSAK,RS0048,Carlos Ruhl,CRUZ ALTA,Rio Grande do Sul,Cruz Alta,Rio Grande do Sul,-28.658611,-53.611389,"28°39'31.0""S","053°36'41.0""W","481,0"
SJQN,GO0006,Quirinópolis,QUIRINÓPOLIS,Goiás,Quirinópolis,Goiás,-18.446111,-50.409167,"18°26'46.0""S","050°24'33.0""W","586,0"
SWPY,MT0023,Primavera do Leste,PRIMAVERA DO LESTE,Mato Grosso,Primavera do Leste,Mato Grosso,-15.565556,-54.337778,"15°33'56.0""S","054°20'16.0""W","655,0"
SNIO,BA0010,Cipó,CIPÓ,Bahia,Cipó,Bahia,-11.125278,-38.486944,"11°07'31.0""S","038°29'13.0""W","223,0"
SNFX,PA0013,São Félix do Xingu,SÃO FÉLIX DO XINGU,Pará,São Félix do Xingu,Pará,-6.6413889,-51.952222,"06°38'29.0""S","051°57'08.0""W","183,0"
SBMY,AM0015,Manicoré,MANICORÉ,Amazonas,Manicoré,Amazonas,-5.8169444,-61.283889,"05°49'01.0""S","061°17'02.0""W","53,0"
SSWS,RS0025,Caçapava do Sul,CAÇAPAVA DO SUL,Rio Grande do Sul,Caçapava do Sul,Rio Grande do Sul,-30.549444,-53.459167,"30°32'58.0""S","053°27'33.0""W","400,0"
SSBN,RS0002,Belém Novo,PORTO ALEGRE,Rio Grande do Sul,Porto Alegre,Rio Grande do Sul,-30.189167,-51.1825,"30°11'21.0""S","051°10'57.0""W","5,0"
SNJQ,MG0053,Jequitinhonha,JEQUITINHONHA,Minas Gerais,Jequitinhonha,Minas Gerais,-16.441389,-41.037222,"16°26'29.0""S","041°02'14.0""W","234,0"
SBCI,MA0003,Brigadeiro Lysias Augusto Rodrigues,CAROLINA,Maranhão,Carolina,Maranhão,-7.3205556,-47.458611,"07°19'14.0""S","047°27'31.0""W","172,0"
SWLB,AM0024,Lábrea,LÁBREA,Amazonas,Lábrea,Amazonas,-7.2788889,-64.769444,"07°16'44.0""S","064°46'10.0""W","74,0"
SNDC,PA0030,Redenção,REDENÇÃO,Pará,Redenção,Pará,-8.0311111,-49.979722,"08°01'52.0""S","049°58'47.0""W","207,0"
SBAA,PA0008,Conceição do Araguaia,CONCEIÇÃO DO ARAGUAIA,Pará,Conceição do Araguaia,Pará,-8.3486111,-49.303056,"08°20'55.0""S","049°18'11.0""W","199,0"
SNPA,MG0052,Pará de Minas,PARÁ DE MINAS,Minas Gerais,Pará de Minas,Minas Gerais,-19.8425,-44.600833,"19°50'33.0""S","044°36'03.0""W","839,0"
SBAR,SE0001,Santa Maria,ARACAJU,Sergipe,Aracaju,Sergipe,-10.985278,-37.073333,"10°59'07.0""S","037°04'24.0""W","7,0"
SSAQ,RS0036,Aeroclube de Passo Fundo,PASSO FUNDO,Rio Grande do Sul,Passo Fundo,Rio Grande do Sul,-28.250556,-52.516667,"28°15'02.0""S","052°31'00.0""W","600,0"
SWFN,AM0002,Flores,MANAUS,Amazonas,Manaus,Amazonas,-3.0727778,-60.021111,"03°04'22.0""S","060°01'16.0""W","62,0"
SNMN,MG0075,Minas Novas,MINAS NOVAS,Minas Gerais,Minas Novas,Minas Gerais,-17.233889,-42.583889,"17°14'02.0""S","042°35'02.0""W","750,0"
SSJA,SC0014,Santa Terezinha,JOAÇABA,Santa Catarina,Joaçaba,Santa Catarina,-27.172778,-51.551667,"27°10'22.0""S","051°33'06.0""W","776,0"
SWCB,GO0023,Campos Belos,CAMPOS BELOS,Goiás,Campos Belos,Goiás,-13.006944,-46.710833,"13°00'25.0""S","046°42'39.0""W","690,0"
SWNH,GO0017,Aruanã,ARUANÃ,Goiás,Aruanã,Goiás,-14.933056,-51.048333,"14°55'59.0""S","051°02'54.0""W","250,0"
